draftYear,categoryID,lastName,firstName,position,shootsCatches,heightIn,weightLbs,lastClub,lastLeague,birthDate,birthCity,birthStateProvince,birthCountry,midtermRank,finalRank
2025,1,Lee,Ryker,RW,R,72,170,MADISON,USHL,2006-11-08,Chicago,IL,USA,40,28
2025,1,Moore,William,C,L,74,174,USA U-18,NTDP - USHL,2007-03-24,Mississauga,ON,CAN,32,29
2025,1,Murtagh,Jack,LW,L,73,198,USA U-18,NTDP - USHL,2007-08-22,Albany,NY,USA,25,30
2025,1,Zonnon,Bill,RW,L,74,187,ROUYN-NORANDA,QMJHL,2006-10-03,Montreal,QC,CAN,29,31
2025,1,McKinney,Cole,C,R,72,200,USA U-18,NTDP - USHL,2007-03-16,Lake Forest,IL,USA,33,32
2025,1,Vansaghi,Shane,RW,R,74,210,MICHIGAN STATE,BIG10,2006-10-11,St. Louis,MO,USA,36,33
2025,1,Wang,Haoxi,D,L,78,215,OSHAWA,OHL,2007-07-27,Beijing,,CHN,23,34
2025,1,Ryabkin,Ivan,C,L,71,205,MUSKEGON,USHL,2007-04-25,Balakovo,,RUS,3,35
2025,1,Nestrasil,Vaclav,RW,R,77,187,MUSKEGON,USHL,2007-04-06,Prague,,CZE,46,36
2025,1,Gard,Matthew,C,L,77,192,RED DEER,WHL,2007-04-07,Winnipeg,MB,CAN,42,37
2025,1,Paupanekis,Hayden,C,R,76,196,KELOWNA,WHL,2007-02-04,Winnipeg,MB,CAN,48,38
2025,1,Kettles,Peyton,D,R,77,190,SWIFT CURRENT,WHL,2007-09-01,Winnipeg,MB,CAN,26,39
2025,1,Psenicka,Max,D,R,77,177,PORTLAND,WHL,2007-01-18,Prague,,CZE,8,40
2025,1,Amico,Carter,D,R,77,225,USA U-18,NTDP - USHL,2007-03-15,Portland,ME,USA,39,41
2025,1,Rombach,Jacob,D,L,78,196,LINCOLN,USHL,2007-04-01,Blaine,MN,USA,51,42
2025,1,Schmidt,Cameron,RW,R,67,160,VANCOUVER,WHL,2007-01-19,Edmonton,AB,CAN,30,43
2025,1,Behm,Nathan,RW,R,74,192,KAMLOOPS,WHL,2007-04-18,Calgary,AB,CAN,31,44
2025,1,Fondrk,Conrad,C,L,72,193,USA U-18,NTDP - USHL,2007-06-01,San Diego,CA,USA,43,45
2025,1,Trethewey,Charlton,D,R,73,200,USA U-18,NTDP - USHL,2007-08-02,Baltimore,MD,USA,37,46
2025,1,Epperson,Kristian,LW,L,72,183,SAGINAW,OHL,2006-05-16,Mequon,WI,USA,45,47
2025,1,Romano,Luca,C,R,71,177,KITCHENER,OHL,2007-06-25,Toronto,ON,CAN,35,48
2025,1,Czata,Ethan,C,L,73,176,NIAGARA,OHL,2007-05-29,Brampton,ON,CAN,41,49
2025,1,Gorzynski,Brandon,C,L,74,185,CALGARY,WHL,2007-03-12,Scottsdale,AZ,USA,81,50
2025,1,Lewandowski,David,LW,L,73,177,SASKATOON,WHL,2007-02-20,Schwetzingen,,DEU,52,51
2025,1,Hopkins,Tyler,C,L,73,179,KINGSTON,OHL,2007-01-23,Milton,ON,CAN,68,52
2025,1,Moe,Mason,C,L,74,187,MADISON,USHL,2007-03-26,Edina,MN,USA,54,53
2025,1,Martin,Owen,C,R,72,185,SPOKANE,WHL,2007-05-11,Oakbank,MB,CAN,69,54
2025,1,Kevan,Ben,RW,R,72,175,DES MOINES,USHL,2007-01-03,Fairfield,CA,USA,44,55
2025,1,Nobert,Mateo,C,L,72,166,BLAINVILLE-BOISBRIAND,QMJHL,2007-08-12,Beaconsfield,QC,CAN,53,56
2025,1,Lafreniere,Tommy,RW,R,71,172,KAMLOOPS,WHL,2007-01-16,Whistler,BC,CAN,86,57
2025,1,Benak,Adam,C,L,67,164,YOUNGSTOWN,USHL,2007-04-10,Znojmo,,CZE,60,58
2025,1,Mutryn,Teddy,C,R,73,210,CHICAGO,USHL,2007-02-16,Norwell,MA,USA,62,59
2025,1,Miller,Ryan,C,L,72,177,PORTLAND,WHL,2007-05-03,Medicine Hat,AB,CAN,118,60
2025,1,Phillips,Maceo,D,L,78,228,USA U-18,NTDP - USHL,2007-02-25,Wayzata,MN,USA,49,61
2025,1,Bedkowski,David,D,R,76,215,OWEN SOUND,OHL,2006-12-07,Toronto,ON,CAN,38,62
2025,1,Reynolds,Will,D,L,74,188,ACADIE-BATHURST,QMJHL,2007-08-11,Fredericton,NB,CAN,78,63
2025,1,Barnhill,Sean,D,R,78,205,DUBUQUE,USHL,2007-01-08,Scottsdale,AZ,USA,76,64
2025,1,Laurila,Sam,D,L,72,184,FARGO,USHL,2006-09-02,Moorhead,MN,USA,63,65
2025,1,Quinn,Nathan,C,R,71,173,QUEBEC,QMJHL,2007-08-29,Chateauguay,QC,CAN,56,66
2025,1,Idzan,Bruno,LW,L,72,195,LINCOLN,USHL,2006-01-16,Zagreb,,HRV,,67
2025,1,Rheaume-Mullen,Dakoda,D,L,72,182,MICHIGAN,BIG10,2006-12-18,Northville,MI,USA,57,68
2025,1,Sawchyn,Lukas,LW,R,70,168,EDMONTON,WHL,2007-02-27,Grande Prairie,AB,CAN,119,69
2025,1,Griffin,Owen,C,R,70,160,OSHAWA,OHL,2007-04-08,Markham,ON,CAN,197,70
2025,1,Dervin,Kieren,C,L,73,183,ST. ANDREWS COLLEGE,HIGH-ON,2007-03-31,Ottawa,ON,CAN,95,71
2025,1,Vlooswyk,Luke,D,R,76,200,RED DEER,WHL,2007-01-09,Calgary,AB,CAN,109,72
2025,1,Handel,Carlos,D,R,73,172,HALIFAX,QMJHL,2007-03-31,Erlangen,,DEU,66,73
2025,1,Simpson,Cooper,LW,L,72,180,SHAKOPEE,HIGH-MN,2007-02-05,Shakopee,MN,USA,67,74
2025,1,Beauchesne,Quinn,D,R,72,184,GUELPH,OHL,2007-03-01,Ottawa,ON,CAN,84,75
2025,1,Sharpe,William,D,L,72,195,KELOWNA,WHL,2007-03-07,Vancouver,BC,CAN,65,76
2025,1,Huang,Alex,D,R,72,170,CHICOUTIMI,QMJHL,2007-07-30,Montreal,QC,CAN,90,77
2025,1,Engle,Edison,D,L,74,175,DUBUQUE,USHL,2007-02-15,Arlington Heights,IL,USA,80,78
2025,1,Guite,Emile,LW,L,73,176,CHICOUTIMI,QMJHL,2007-05-31,Longueil,QC,CAN,61,79
2025,1,Herrington,Caeden,D,R,74,204,LINCOLN,USHL,2006-01-26,Manchester,VT,USA,105,80
2025,1,O'Neill,Andrew,C,R,74,195,USA U-18,NTDP - USHL,2007-02-07,Fargo,ND,USA,58,81
2025,1,Dell'elce,Francesco,D,L,73,180,UMASS,H-EAST,2005-06-23,Nobleton,ON,CAN,91,82
2025,1,Schultz,Ashton,C,R,71,180,CHICAGO,USHL,2006-10-03,Minnetonka,MN,USA,59,83
2025,1,Lombardi,Jimmy,C,L,72,175,FLINT,OHL,2007-02-16,Toronto,ON,CAN,64,84
2025,1,Laberge,Noah,D,L,72,187,ACADIE-BATHURST,QMJHL,2006-10-09,Saint-Bruno,QC,CAN,126,85
2025,1,Peddle,Brady,D,L,75,194,WATERLOO,USHL,2007-05-23,Antigonish,NS,CAN,88,86
2025,1,Passmore,Evan,D,R,77,212,BARRIE,OHL,2006-12-05,Elmira,ON,CAN,55,87
2025,1,Klippenstein,Carter,C,L,74,180,BRANDON,WHL,2006-11-25,Lethbridge,AB,CAN,121,88
2025,1,Foster,Aiden,C,L,74,182,PRINCE GEORGE,WHL,2007-02-05,Lloydminster,AB,CAN,134,89
2025,1,Kilfoil,Liam,C,L,71,179,HALIFAX,QMJHL,2007-03-21,Moncton,NB,CAN,96,90
2025,1,Veilleux,Philippe,LW,L,69,168,VAL-D'OR,QMJHL,2007-03-26,St. Jean sur Richelieu,QC,CAN,172,91
2025,1,Misiak,Alex,RW,L,72,180,WATERLOO,USHL,2007-06-22,Bratislava,,SVK,16,92
2025,1,Mistelbacher,Luke,RW,R,72,196,SWIFT CURRENT,WHL,2005-11-02,Steinbach,MB,CAN,72,93
2025,1,Park,Aidan,C,R,73,188,GREEN BAY,USHL,2006-01-06,Newport Beach,CA,USA,151,94
2025,1,Straka,Andreas,RW,L,72,190,QUEBEC,QMJHL,2007-07-04,Spisska Nova Ves,,SVK,82,95
2025,1,Barnett,Asher,D,L,72,196,USA U-18,NTDP - USHL,2007-05-16,Chicago,IL,USA,92,96
2025,1,Murphy,Will,D,L,76,209,CAPE BRETON,QMJHL,2007-08-24,Summerside,PE,CAN,167,97
2025,1,Gelinas,Remi,C,L,72,186,ROUYN-NORANDA,QMJHL,2005-05-25,Saint-Eustache,QC,CAN,,98
2025,1,Gerwing,Dawson,LW,L,75,225,KELOWNA,WHL,2006-07-12,Meadow Lake,SK,CAN,135,99
2025,1,Pickford,Bryce,D,R,72,183,MEDICINE HAT,WHL,2006-04-02,Edmonton,AB,CAN,73,100
2025,1,Allain-Samake,Anthony,D,L,74,183,SIOUX CITY,USHL,2007-09-10,Gatineau,QC,CAN,75,101
2025,1,Conrad,Owen,D,L,74,214,CHARLOTTETOWN,QMJHL,2007-03-10,Stellarton,NS,CAN,94,102
2025,1,Morin,Zachary,LW,L,73,181,SAINT JOHN,QMJHL,2007-01-25,Terrebonne,QC,CAN,47,103
2025,1,Moses,Shamar,RW,R,73,200,NORTH BAY,OHL,2007-05-06,Scarborough,ON,CAN,71,104
2025,1,Labre,Maddox,D,L,74,180,VICTORIAVILLE,QMJHL,2007-06-15,Les C̬dres,QC,CAN,112,105
2025,1,Charron,Jordan,RW,R,73,188,SAULT STE. MARIE,OHL,2007-06-21,Hamilton,ON,CAN,138,106
2025,1,Harmer,Carson,C,L,70,184,SAGINAW,OHL,2007-01-13,Mitchell,ON,CAN,106,107
2025,1,Cloutier,Jacob,RW,R,70,171,SAGINAW,OHL,2007-03-22,Ottawa,ON,CAN,193,108
2025,1,Sykora,Nicolas,LW,L,72,179,SIOUX CITY,USHL,2007-05-24,Palm Springs,CA,USA,77,109
2025,1,Cerrato,Charlie,C,L,72,190,PENN STATE,BIG10,2005-03-10,Great Falls,VA,USA,188,110
2025,1,McGregor,Josh,D,L,73,170,SWIFT CURRENT,WHL,2007-06-09,Brandon,MB,CAN,111,111
2025,1,Lane,Aiden,RW,R,73,193,ST. ANDREWS COLLEGE,HIGH-ON,2007-02-04,Mississauga,ON,CAN,114,112
2025,1,Hamilton,Reese,D,L,72,172,REGINA,WHL,2007-03-26,Yorkton,SK,CAN,74,113
2025,1,Solomon,Brent,RW,R,72,173,CHAMPLIN PARK,HIGH-MN,2007-01-02,Robbinsdale,MN,USA,161,114
2025,1,Sumpf,Julius,C,L,73,190,MONCTON,QMJHL,2005-01-11,Munich,,DEU,108,115
2025,1,McCann,Kadon,C,L,75,200,MEDICINE HAT,WHL,2007-03-25,Calgary,AB,CAN,101,116
2025,1,Belle,William,RW,R,75,219,USA U-18,NTDP - USHL,2007-01-14,Dongguan,,CHN,89,117
2025,1,Baldwin,Everett,D,R,72,178,ST. GEORGE'S SCHOOL,HIGH-RI,2007-01-15,Providence,RI,USA,99,118
2025,1,Hayes,Travis,RW,R,70,175,SAULT STE. MARIE,OHL,2007-09-03,Westland,MI,USA,117,119
2025,1,Sinivuori,Lauri,LW,L,74,180,OSHAWA,OHL,2006-04-28,Mikkeli,,FIN,100,120
2025,1,Virk,Savin,RW,R,71,168,TRI-CITY,WHL,2007-06-06,Surrey,BC,CAN,,121
2025,1,Desjardins,Vincent,C,R,70,165,BLAINVILLE-BOISBRIAND,QMJHL,2006-09-08,Mirabel,QC,CAN,189,122
2025,1,Amidovski,Lirim,RW,R,73,180,NORTH BAY,OHL,2006-12-22,Toronto,ON,CAN,85,123
2025,1,Blais-Savoie,Philippe,D,L,72,190,COLORADO COLLEGE,NCHC,2005-06-10,San Jose,CA,USA,185,124
2025,1,Fuder,Jaxon,C,L,72,166,RED DEER,WHL,2006-04-02,Grand Prairie,AB,CAN,170,125
2025,1,Busch,Shea,LW,L,74,208,EVERETT,WHL,2007-06-12,North Vancouver,BC,CAN,169,126
2025,1,Allison,Drew,D,L,74,186,BAIE-COMEAU,QMJHL,2007-07-04,Saint John,NB,CAN,102,127
2025,1,Houle,Florent,RW,R,71,178,SHERBROOKE,QMJHL,2007-08-04,Qu̩bec,QC,CAN,,128
2025,1,Shlaine,Daniel,C,L,73,172,LINCOLN,USHL,2005-10-30,Moscow,,RUS,156,129
2025,1,Mathieu,Alexis,D,L,75,197,BAIE-COMEAU,QMJHL,2007-05-25,Sherbrooke,QC,CAN,93,130
2025,1,Taylor,Caden,LW,L,74,185,PETERBOROUGH,OHL,2007-03-31,Barrie,ON,CAN,113,131
2025,1,Digiulian,Giovanni,C,R,71,178,LINCOLN,USHL,2005-09-25,Burlington,VT,USA,,132
2025,1,Leslie,Mazden,D,R,72,200,VANCOUVER,WHL,2005-04-15,Lloydminster,AB,CAN,196,133
2025,1,MacKenzie,Ethan,D,L,72,174,EDMONTON,WHL,2006-09-02,Kelowna,BC,CAN,163,134
2025,1,Roed,Nolan,C,L,71,186,TRI-CITY,USHL,2005-10-25,Hugo,MN,USA,148,135
2025,1,Dach,Kale,C,L,70,165,SHERWOOD PARK,BCHL,2007-02-15,Edmonton,AB,CAN,154,136
2025,1,Cameron,Carson,D,R,73,193,PETERBOROUGH,OHL,2007-06-27,Markham,ON,CAN,87,137
2025,1,Schoettler,Owen,D,R,72,181,SPOKANE,WHL,2007-01-23,Edmonton,AB,CAN,131,138
2025,1,Brauti,Jack,D,L,72,165,NIAGARA,OHL,2006-05-24,Toronto,ON,CAN,,139
2025,1,Kaiser,Rio,D,L,79,230,PETERBOROUGH,OHL,2006-10-07,Berlin,,DEU,,140
2025,1,Buttazzoni,Diego,LW,L,69,183,PORTLAND,WHL,2006-01-13,Langley,BC,CAN,191,141
2025,1,Katzin,Lev,C,L,68,171,GUELPH,OHL,2007-05-13,Thornhill,ON,CAN,107,142
2025,1,Cowan,Robert,RW,R,70,176,MADISON,USHL,2006-06-12,Edina,MN,USA,158,143
2025,1,McMorrow,Brendan,C,L,72,173,WATERLOO,USHL,2006-03-27,Lakeville,MN,USA,127,144
2025,1,Baran,Richard,D,L,73,185,DES MOINES,USHL,2005-10-24,Bratislava,,SVK,133,145
2025,1,Vanek,Blake,RW,R,74,205,STILLWATER,HIGH-MN,2007-08-16,Stillwater,MN,USA,,146
2025,1,Bondar,Eduard,D,R,76,187,VAL-D'OR,QMJHL,2007-01-31,Nevinnomyssk,,RUS,110,147
2025,1,Carrier,Shawn,LW,L,70,183,HALIFAX,QMJHL,2007-03-14,Trois-Rivi̬res,QC,CAN,194,148
2025,1,Loranger,Jeremy,C,R,69,161,SHERWOOD PARK,BCHL,2007-06-15,Trois-Rivi̬res,QC,CAN,149,149
2025,1,Tomko,William,C,R,72,189,CHICAGO,USHL,2006-10-17,Venetia,PA,USA,181,150
2025,1,Karmiris,Lucas,C,R,71,190,BRAMPTON,OHL,2006-09-27,Brantford,ON,CAN,83,151
2025,1,Kvasnicka,Jacob,RW,R,71,170,USA U-18,NTDP - USHL,2007-08-10,Burnsville,MN,USA,129,152
2025,1,Jenken,Noah,D,L,75,190,GUELPH,OHL,2007-03-08,Ilderton,ON,CAN,104,153
2025,1,Skvortsov,Daniil,D,L,75,215,GUELPH,OHL,2007-01-13,Kaluga,,RUS,79,154
2025,1,Gosselin,Alonso,D,L,73,195,CHICOUTIMI,QMJHL,2007-08-13,Verdun,QC,CAN,124,155
2025,1,Woo,Jonas,D,R,69,165,MEDICINE HAT,WHL,2006-11-19,Winnipeg,MB,CAN,147,156
2025,1,Read,Noah,C,L,72,170,LONDON,OHL,2007-01-06,St. Catharines,ON,CAN,187,157
2025,1,Turner,Oliver,D,R,76,190,ST. ANDREWS COLLEGE,HIGH-ON,2007-03-18,Toronto,ON,CAN,132,158
2025,1,Lam,Tanner,RW,R,69,154,KITCHENER,OHL,2007-07-14,Brampton,ON,CAN,175,159
2025,1,Chiarot,Gabriel,RW,R,71,191,BRAMPTON,OHL,2006-09-17,Hamilton,ON,CAN,,160
2025,1,Andersen,Poul,RW,R,72,200,SHERWOOD PARK,BCHL,2007-06-01,St. Louis Park,MN,USA,157,161
2025,1,Ziprick,Aiden,D,L,72,190,MOOSE JAW,WHL,2005-12-08,Russell,MB,CAN,221,162
2025,1,Thurston,Derek,D,L,73,190,RED DEER,WHL,2006-06-04,Delta,BC,CAN,192,163
2025,1,Cullen,Brooks,C,L,72,189,MOORHEAD,HIGH-MN,2006-09-13,Moorhead,MN,USA,165,164
2025,1,Seymour,Jabez,C,R,75,207,CHARLOTTETOWN,QMJHL,2007-07-27,North River,NL,CAN,145,165
2025,1,Lajoie,Jett,RW,R,72,178,PRINCE GEORGE,WHL,2007-02-05,Winnipeg,MB,CAN,70,166
2025,1,Baumuller,Joby,RW,R,71,188,BRANDON,WHL,2007-07-20,Wilcox,SK,CAN,146,167
2025,1,Avery,Joshua,C,L,72,177,BRANTFORD,OHL,2007-01-30,Uxbridge,ON,CAN,141,168
2025,1,Geerdes,Nolen,D,L,71,177,ROGERS,HIGH-MN,2007-04-30,Rogers,MN,USA,168,169
2025,1,Barch,Hayden,D,R,73,188,SAGINAW,OHL,2007-04-14,Plano,TX,USA,,170
2025,1,Beamish,Liam,C,L,71,178,SARNIA,OHL,2007-01-04,Beamsville,ON,CAN,190,171
2025,1,Chandler,Cole,C,L,74,176,SHAWINIGAN,QMJHL,2007-05-01,Halifax,NS,CAN,,172
2025,1,Crawford,Jacob,C,L,74,180,OWEN SOUND,OHL,2007-05-05,Barrie,ON,CAN,98,173
2025,1,Robertson-Palmer,Grayden,C,L,71,197,PHILLIPS ANDOVER ACADEMY,HIGH-MA,2007-08-29,North Bay,ON,CAN,164,174
2025,1,Lansing,Matthew,C,L,72,186,FARGO,USHL,2007-02-24,Buffalo,NY,USA,97,175
2025,1,Schneid,William,RW,R,72,195,NORTHWOOD SCHOOL,HIGH-NY,2007-05-10,Syracuse,NY,USA,202,176
2025,1,Brown,Jonathan,D,R,74,201,SHATTUCK - ST.MARY'S PREP,HIGH-MN,2007-03-09,London,,GBR,166,177
2025,1,Ekberg,Filip,RW,L,70,170,OTTAWA,OHL,2007-04-14,Uppsala,,SWE,136,178
2025,1,Pekar,Matej,RW,L,70,163,SEATTLE,WHL,2007-09-08,Prerov,,CZE,,179
2025,1,Snelgrove,Parker,C,L,72,189,GUELPH,OHL,2007-01-20,London,ON,CAN,179,180
2025,1,Koch,Cash,LW,L,71,197,TRI-CITY,WHL,2007-03-31,Calgary,AB,CAN,160,181
2025,1,Schock,Drew,D,L,72,178,USA U-18,NTDP - USHL,2007-02-07,Chicago,IL,USA,159,182
2025,1,Davis,Conor,RW,R,72,183,SALISBURY,HIGH-CT,2006-11-09,Montreal,QC,CAN,198,183
2025,1,Lampron,Olivier,RW,R,73,178,SHERBROOKE,QMJHL,2007-03-21,Saint Anne des Plaines,QC,CAN,184,184
2025,1,Wyttenbach,Ethan,LW,R,70,180,SIOUX FALLS,USHL,2007-02-10,Roslyn,NY,USA,222,185
2025,1,Groulx,Olivier,C,L,74,192,SAINT JOHN,QMJHL,2007-07-25,Salaberry-de-Valleyfield,QC,CAN,137,186
2025,1,Harsanyi,Hayden,C,L,69,171,SASKATOON,WHL,2007-01-10,Calgary,AB,CAN,,187
2025,1,Radivojevic,Luka,D,R,69,165,MUSKEGON,USHL,2007-01-03,Edina,MN,USA,120,188
2025,1,Hockley,Drew,D,R,75,179,QUINNIPIAC,ECAC,2005-03-03,Kentville,NS,CAN,213,189
2025,1,Bridgeman,Kolten,D,R,76,216,REGINA,WHL,2006-10-28,Regina,SK,CAN,142,190
2025,1,Burzynski,Grayson,D,L,76,212,SWIFT CURRENT,WHL,2005-06-04,Iowa City,IA,USA,130,191
2025,1,Pechar,Jack,RW,R,73,198,LINCOLN,USHL,2005-03-20,Niskayuna,NY,USA,207,192
2025,1,Van Gorp,Evan,LW,L,70,162,LONDON,OHL,2006-05-18,Strathroy,ON,CAN,215,193
2025,1,Dunphy,Brendan,D,L,77,207,WENATCHEE,WHL,2006-02-02,Bellingham,WA,USA,,194
2025,1,Netusil,Frantisek,C,R,70,195,MN WILDERNESS,NAHL,2007-05-14,Prague,,CZE,155,195
2025,1,Kingwell,Shaan,LW,L,72,160,NAVAN,CCHL,2007-02-07,Ottawa,ON,CAN,219,196
2025,1,Donovan,Alex,RW,R,70,170,SHATTUCK - ST.MARY'S PREP,HIGH-MN,2007-04-08,Darien,CT,USA,180,197
2025,1,Glavin,Joshua,D,L,74,198,SAGINAW,OHL,2006-09-24,Sarnia,ON,CAN,103,198
2025,1,Carbonneau,Alexandre,D,L,76,207,BLAINVILLE-BOISBRIAND,QMJHL,2006-04-14,Saint-Isidore-de-Laprairie,QC,CAN,128,199
2025,1,Young,Aiden,LW,L,70,180,PETERBOROUGH,OHL,2007-04-18,Ottawa,ON,CAN,183,200
2025,1,Garland,Gavin,RW,R,70,183,TRI-CITY,WHL,2006-02-08,Clearwater,FL,USA,122,201
2025,1,Velliaris,Xander,D,L,75,205,SAGINAW,OHL,2007-04-23,Toronto,ON,CAN,,202
2025,1,Adair,Carsen,D,L,74,188,LETHBRIDGE,WHL,2007-02-14,Calgary,AB,CAN,,203
2025,1,Rucinski,Ryan,C,R,70,176,YOUNGSTOWN,USHL,2006-12-01,Broadview Heights,OH,USA,,204
2025,1,Allen,Dryden,D,L,72,188,DUBUQUE,USHL,2007-08-09,Ottawa,ON,CAN,,205
2025,1,Mooney,John,C,R,67,160,USA U-18,NTDP - USHL,2007-03-08,Pittsburgh,PA,USA,208,206
2025,1,Crowder,Jackson,C,R,74,184,CHICAGO,USHL,2007-04-26,Allen,TX,USA,,207
2025,1,Shahan,Kaden,RW,R,71,168,UCONN,H-EAST,2005-05-24,Everett,WA,USA,,208
2025,1,Heise,Max,C,R,74,169,PENTICTON,BCHL,2006-02-26,Calgary,AB,CAN,200,209
2025,1,Cloutier,Rafael,LW,L,75,190,BLAINVILLE-BOISBRIAND,QMJHL,2007-08-22,Hawkesbury,ON,CAN,140,210
2025,1,Kapageridis,Jonathan,D,L,71,176,COBOURG,OJHL,2007-05-08,Vaughan,ON,CAN,178,211
2025,1,Lebel,Xavier,RW,R,71,174,QUEBEC,QMJHL,2007-03-25,Qu̩bec City,QC,CAN,182,212
2025,1,Schmidt,Connor,D,R,71,180,MOOSE JAW,WHL,2007-03-20,Kitchener,ON,CAN,206,213
2025,1,Karimov,Ruslan,RW,L,72,195,SARNIA,OHL,2007-04-27,Almetyevsk,,RUS,216,214
2025,1,Spada,Grant,D,L,76,185,GUELPH,OHL,2007-06-24,Fort Erie,ON,CAN,,215
2025,1,Mayes,Sawyer,C,L,76,188,SEATTLE,WHL,2007-01-08,Calgary,AB,CAN,144,216
2025,1,Sarkenov,Asanali,RW,L,76,203,SPOKANE,WHL,2006-07-22,Astana,,KAZ,125,217
2025,1,Coombs,Ritter,LW,L,72,184,SIOUX FALLS,USHL,2006-11-03,Dubuque,IA,USA,115,218
2025,1,Dirracolo,Max,D,L,76,217,KITCHENER,OHL,2006-06-29,Barrie,ON,CAN,205,219
2025,1,Matthews,Caleb,RW,R,74,173,VICTORIA,WHL,2007-06-04,Calgary,AB,CAN,,220
2025,1,Katin,Mikhail,D,L,78,206,OMAHA,USHL,2006-10-24,Moscow,,RUS,,221
2025,1,Zakharov,Mikhail,C,L,77,168,KING,OJHL,2007-07-06,Tomsk,,RUS,,222
2025,1,Houben,Zach,LW,L,77,207,OTTAWA,OHL,2007-02-01,Stratford,ON,CAN,,223
2025,1,Cornforth,Gavin,RW,R,70,166,DUBUQUE,USHL,2006-12-15,Boston,MA,USA,,224
2025,1,Obobaifo,Aaron,LW,L,70,183,VANCOUVER,WHL,2007-02-13,Calgary,AB,CAN,150,925
2025,1,Nansi,Harry,RW,R,75,186,OWEN SOUND,OHL,2007-09-10,Brossard,QC,CAN,116,
2025,1,Gavin,Jordan,LW,L,71,187,BRANDON,WHL,2006-11-13,Surrey,BC,CAN,123,
2025,1,Hes,Jakub,C,L,74,172,YOUNGSTOWN,USHL,2006-12-30,Zlin,,CZE,139,
2025,1,Degenstein,Noah,C,L,76,206,MOOSE JAW,WHL,2007-02-12,Airdrie,AB,CAN,143,
2025,1,Hughes,Callum,LW,L,72,182,ERIE,OHL,2006-01-22,Bridgeport,CT,USA,152,
